Education_Sector,School_Name,School_Type,Address,Suburb,Postcode,Full_Phone_No,LGA_ID,LGA_Name,CouncilArea,Longitude,Latitude
Private,St Paul's School,Primary,59 Moores Road,Monbulk,3793,03 9756 7201,745,Yarra Ranges ,Yarra Ranges Shire Council,145.412057,-37.867995
Private,Our Lady of Fatima School,Primary,16 Hinton Street,Rosebud,3939,03 5950 0400,534,Mornington Peninsula ,Mornington Peninsula City Council,144.897536,-38.371333
Private,St Justin's School,Primary,42 Whalley Drive,Wheelers Hill,3150,03 9561 7644,497,Monash ,Monash City Council,145.190508,-37.917811
Private,Grace Christian College Wodonga,Pri/Sec,20 Kinchington Road,Leneva,3691,02 6056 2288,717,Wodonga ,Wodonga City Council,146.887345,-36.157173
Private,St Richard's Primary School,Primary,672 Mount Dandenong Road,Kilsyth,3137,03 9728 4378,745,Yarra Ranges ,Yarra Ranges Shire Council,145.3217417,-37.80656384
Private,Holy Trinity School,Primary,10 Riddell Road,Wantirna South,3152,03 9801 8296,367,Knox ,Knox City Council,145.242912,-37.877468
Private,Melton Christian College,Pri/Sec,152-156 Brooklyn Road,Melton South,3338,03 9743 8193,465,Melton ,Melton City Council,144.560281,-37.700276
Private,Mansfield Rudolf Steiner School,Pri/Sec,91 Highett Street,Mansfield,3722,03 5779 1445,425,Mansfield ,Mansfield City Council,146.08574,-37.061402
Private,St Paul Apostle North School,Primary,76 Mossgiel Park Drive,Endeavour Hills,3802,03 9700 6068,161,Casey ,Casey City Council,145.262664,-37.967529
Private,Corpus Christi School,Primary,29  Russell Street,Werribee,3030,03 9741 8440,726,Wyndham ,Wyndham City Council,144.6634428,-37.90994759
Private,Nazareth College,Secondary,Manning Drive,Noble Park North,3174,03 9795 8100,267,Greater Dandenong ,Greater Dandenong City Council,145.195459,-37.940226
Private,St Therese School,Primary,50 Grossmans Road,Torquay,3228,03 5261 4246,649,Surf Coast ,Surf Coast City Council,144.3118515,-38.32111509
Private,Japanese School of Melbourne,Pri/Sec,6 Ellington Street,Caulfield South,3162,03 9528 1978,231,Glen Eira ,Glen Eira City Council,145.019402,-37.892445
